"Comment ID","Comment Published Date","Comment Author Name","Comment Content","Is Thread","Comment Likes Count","Comment Replies Count","Comment URL"
"Ugz-OjnCXJht579NcTp4AaABAg","2017-08-23 20:56:29","timkjazz","Astounding!!!!!!!","true","4","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=Ugz-OjnCXJht579NcTp4AaABAg"
"UgzP7f-Ex-1Py6o68bV4AaABAg","2017-08-31 13:25:38","JayGoldenBeach","That voice. Grrr!  She is proper sexy!","true","12","1","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgzP7f-Ex-1Py6o68bV4AaABAg"
"UgytjiuvWaYzXiWy1rx4AaABAg","2017-09-04 22:40:45","Hugh G. Rekshun","1994-1997 were the best years of the 90's","true","11","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgytjiuvWaYzXiWy1rx4AaABAg"
"UgwO4ZOeVdH71a2LoJZ4AaABAg","2017-10-26 09:30:32","Zak Stone","She’s 19 here....I’m 19 almost 20 and my greatest accomplishment somewhat on time. What am I doing with my life","true","0","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgwO4ZOeVdH71a2LoJZ4AaABAg"
"UgzLLVHVwkLL-g7HrMJ4AaABAg","2017-10-27 16:12:38","Nano Linus","Nobody can wear such trousers like her","true","1","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgzLLVHVwkLL-g7HrMJ4AaABAg"
"UgwkMZSzq1Ed0x77tHJ4AaABAg","2017-11-02 16:03:05","Jason Fennell","Not impressed","true","1","1","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgwkMZSzq1Ed0x77tHJ4AaABAg"
"UgwOVyHBdT94xifVfg54AaABAg","2017-11-20 07:35:01","David Kehrer","Omg Fiona...you bring it in that kicking blouse...sure enough gave me a chubby ...and only 19...well done Ms Apple...Well done*...","true","1","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgwOVyHBdT94xifVfg54AaABAg"
"UgjxXGnKl1zXB3gCoAEC","2017-11-22 04:20:12","Support AnimalRights","She wrote and played this at 19. She plays guitar and piano. She has a unique voice like Lorde, Tori Amos, Sarah Maclachlan, Norah Jones etc. I saw her live, she's talented, can definitely sing live.","true","21","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=UgjxXGnKl1zXB3gCoAEC"
"Ugwi6u-s0eIs6J_5fUF4AaABAg","2017-11-22 08:00:42","David Kehrer","Fiona...you bring such feeling and passion to your songs...omg....they will write sonnets and hymns to you...and erect statues in your honor...I know you built my erection with this song...keep those seductive moves going girl...you got it goin' on Ms Fiona...","true","1","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=Ugwi6u-s0eIs6J_5fUF4AaABAg"
"Ugx02XyCEIb2eNQGt_h4AaABAg","2017-12-07 15:44:12","natea nara","aww such a cute entrance","true","38","0","https://www.youtube.com/watch?v=RQOEcg6V58k&lc=Ugx02XyCEIb2eNQGt_h4AaABAg"
